M,N,GFlops
300,300,7.896930e-01
1000,1000,1.572819e+00
100,100,7.388076e-02
1600,1600,2.027678e+00
1400,1400,2.030810e+00
700,700,2.410356e+00
2700,2700,2.371485e+00
2500,2500,2.380397e+00
1100,1100,2.070694e+00
200,200,6.545331e-01
4800,4800,2.521017e+00
900,900,1.920239e+00
1200,1200,1.960972e+00
5200,5200,2.450009e+00
4900,4900,2.413901e+00
500,500,1.241329e+00
5000,5000,2.442137e+00
1700,1700,2.168226e+00
600,600,1.676894e+00
1500,1500,2.042721e+00
1300,1300,2.129906e+00
5100,5100,2.420496e+00
400,400,9.850121e-01
800,800,1.476232e+00
2000,2000,2.301010e+00
2200,2200,2.361325e+00
1800,1800,2.128005e+00
5600,5600,2.452131e+00
5500,5500,2.432345e+00
5400,5400,2.458390e+00
5300,5300,2.404756e+00
5700,5700,2.412213e+00
5800,5800,2.432156e+00
3100,3100,2.479956e+00
3200,3200,2.448226e+00
1900,1900,2.428698e+00
2100,2100,2.343551e+00
2900,2900,2.472185e+00
2800,2800,2.463094e+00
3600,3600,2.478210e+00
2300,2300,2.617357e+00
2400,2400,2.600282e+00
3300,3300,2.470168e+00
4700,4700,2.489582e+00
4600,4600,2.515414e+00
3400,3400,2.476490e+00
4200,4200,2.476194e+00
4300,4300,2.514120e+00
3700,3700,2.457041e+00
3000,3000,2.449979e+00
3800,3800,2.481039e+00
3900,3900,2.487935e+00
4100,4100,1.938184e+00
4000,4000,2.481784e+00
3500,3500,2.459648e+00
2600,2600,2.401003e+00
4500,4500,2.483739e+00
4400,4400,2.488492e+00
