M,N,GFlops
300,300,1.311943e+00
50,50,1.125000e+00
1900,1900,4.521465e-01
1650,1650,4.074287e-01
150,150,2.011568e+00
1600,1600,3.094921e-01
350,350,9.288558e-01
2000,2000,3.790544e-01
750,750,6.287272e-01
2200,2200,4.501631e-01
1400,1400,4.307258e-01
1500,1500,4.851966e-01
2100,2100,4.300320e-01
600,600,6.523981e-01
200,200,1.842406e+00
700,700,7.475749e-01
400,400,5.727446e-01
1300,1300,5.255041e-01
450,450,7.920639e-01
800,800,5.261579e-01
550,550,6.629630e-01
900,900,5.849177e-01
1200,1200,5.170383e-01
500,500,6.474633e-01
1000,1000,5.037515e-01
1350,1350,5.366583e-01
1150,1150,5.538869e-01
100,100,1.407979e+00
1700,1700,4.711600e-01
1750,1750,4.406627e-01
1050,1050,6.029991e-01
1100,1100,6.024021e-01
250,250,8.958531e-01
850,850,5.818308e-01
1250,1250,7.058378e-01
950,950,6.034857e-01
650,650,6.327510e-01
1800,1800,4.207974e-01
2150,2150,4.643717e-01
2250,2250,4.088431e-01
1450,1450,3.942279e-01
1550,1550,3.918412e-01
1950,1950,4.885389e-01
2050,2050,4.306670e-01
1850,1850,4.354285e-01
2300,2300,4.945323e-01
2500,2500,4.529280e-01
2350,2350,4.746659e-01
2450,2450,4.636938e-01
2400,2400,3.520951e-01
2550,2550,4.635354e-01
2650,2650,4.146184e-01
2700,2700,4.107993e-01
3950,3950,3.310092e-01
3800,3800,3.450811e-01
5000,5000,4.215182e-01
2600,2600,4.110053e-01
4000,4000,3.194137e-01
2750,2750,4.020257e-01
3850,3850,3.496170e-01
3300,3300,3.896693e-01
3000,3000,3.820282e-01
3050,3050,3.906901e-01
3500,3500,3.910197e-01
3400,3400,3.571298e-01
4300,4300,3.408459e-01
3150,3150,3.898992e-01
4050,4050,3.465502e-01
4150,4150,3.204192e-01
4200,4200,3.225812e-01
4750,4750,3.466107e-01
4400,4400,3.334653e-01
3900,3900,3.457919e-01
4350,4350,3.521963e-01
4100,4100,3.405495e-01
4450,4450,3.401544e-01
4900,4900,3.581239e-01
4550,4550,3.264487e-01
4500,4500,3.344657e-01
4800,4800,3.293907e-01
4250,4250,3.305765e-01
4950,4950,3.623491e-01
4700,4700,3.497386e-01
2800,2800,3.547071e-01
4600,4600,3.269010e-01
4850,4850,3.545723e-01
4650,4650,3.471340e-01
3200,3200,3.084117e-01
2950,2950,3.839787e-01
3100,3100,3.825777e-01
2900,2900,4.025062e-01
3250,3250,3.884390e-01
2850,2850,3.929505e-01
3600,3600,3.531083e-01
3700,3700,3.804937e-01
3550,3550,3.766852e-01
3350,3350,3.915139e-01
3650,3650,3.735524e-01
3450,3450,3.822708e-01
3750,3750,3.729322e-01
